Time difference of 11.69235 hours
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinG
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinE
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinD
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinJ
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAb
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinI
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinH
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinF
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinE
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpAAb
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAc
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinI
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinG
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpAAc
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAd
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpAAb
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinJ
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinH
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpAAd
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAe
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpAAc
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpAAb
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinI
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpAAe
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAf
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpAAd
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpAAc
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinJ
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpAAf
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAj
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpAAe
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpAAd
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13ChpAAb
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpAAj
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAk
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAa
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpAAf
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpAAe
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13ChpAAc
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpAAk
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAl
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAb
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpAAj
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpAAf
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13ChpAAd
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpAAl
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAa
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAa
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAc
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpAAk
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpAAj
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13ChpAAe
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpSCFAa
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAa
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAb
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAb
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAd
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAc
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpAAl
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpAAk
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAc
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAa
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13ChpAAf
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpSCFAb
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAb
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAc
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAc
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #61; stage UB; binary index 8; optim.step 2; tracer 13CGlc
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAd
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpSCFAa
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpAAl
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAd
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAb
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13ChpAAj
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpSCFAc
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAc
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAc
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAd
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAd
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #13; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpSCFAb
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #61; stage UB; binary index 8; optim.step 2; tracer 13CLac
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpSCFAa
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAc
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAc
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #84; stage UB; binary index 1; optim.step 2; tracer 13CGlc
